21
20
3,8,9,11,7,8,5,3,8,9,11,7,8,5,3,8,9,11,7,8,5,
16,29,29,29,29,29,16,16,29,29,29,29,29,16,16,29,29,29,29,29,16,
16,29,7,8,9,29,23,25,29,6,29,6,29,23,25,29,17,29,17,29,16,
16,29,29,30,29,29,11,11,29,16,27,16,29,11,11,29,29,27,29,29,16,
16,29,7,8,9,29,3,5,29,26,29,26,29,3,5,29,17,29,17,29,16,
16,29,29,29,29,29,16,16,29,29,29,29,29,16,16,29,29,29,29,29,16,
23,8,5,11,3,8,25,23,8,5,11,3,8,25,23,8,5,11,3,8,25,
11,11,16,11,16,11,33,34,11,16,11,16,11,11,11,11,16,11,16,11,11,
3,8,25,11,23,8,9,18,7,25,11,23,8,8,8,8,25,11,23,8,5,
16,29,29,29,29,29,29,11,29,29,29,29,29,29,29,29,29,29,29,27,16,
16,27,29,29,29,29,29,29,29,29,29,29,29,31,29,29,29,29,29,29,16,
23,8,5,11,3,8,8,8,8,5,11,3,9,18,7,8,5,11,3,8,25,
11,11,16,11,16,11,11,11,11,16,11,16,11,32,11,11,16,11,16,11,11,
3,8,25,11,23,8,5,3,8,25,11,23,8,5,3,8,25,11,23,8,5,
16,29,29,29,29,29,16,16,17,29,29,29,17,16,16,17,29,29,29,17,16,
16,29,3,8,5,29,23,25,29,17,29,17,29,23,25,29,29,6,29,29,16,
16,29,16,27,16,29,11,11,29,29,19,29,29,11,11,29,7,14,9,29,16,
16,29,26,29,26,29,3,5,29,17,29,17,29,3,5,29,29,26,29,29,16,
16,29,29,29,29,29,16,16,17,29,29,29,17,16,16,17,29,29,29,17,16,
23,8,9,11,7,8,25,23,8,9,11,7,8,25,23,8,9,11,7,8,25,
