21
21
3,8,8,8,8,8,8,8,8,5,11,3,8,8,8,8,8,8,8,8,5,
16,31,11,18,29,29,29,29,27,16,11,16,27,29,29,29,29,18,11,33,16,
16,11,32,6,29,0,1,2,29,26,11,26,29,0,1,2,29,6,34,11,16,
16,18,7,25,29,10,11,12,29,29,29,29,29,10,11,12,29,23,9,18,16,
16,29,29,29,29,20,21,22,29,7,8,9,29,20,21,22,29,29,29,29,16,
16,29,3,5,29,29,29,29,29,29,29,29,29,29,29,29,29,3,5,29,16,
16,29,16,23,5,29,3,8,8,9,29,7,8,8,5,29,3,25,16,29,16,
16,29,23,8,25,29,16,29,29,29,19,29,29,29,16,29,23,8,25,29,16,
16,29,29,29,29,29,16,29,3,9,11,7,5,29,16,29,29,29,29,29,16,
23,8,9,29,6,29,26,29,26,29,29,29,26,29,26,29,6,29,7,8,25,
11,11,11,29,16,29,29,19,11,29,30,29,11,19,29,29,16,29,11,11,11,
3,8,9,29,26,29,6,29,6,29,29,29,6,29,6,29,26,29,7,8,5,
16,29,29,29,29,29,16,29,23,9,11,7,25,29,16,29,29,29,29,29,16,
16,29,3,8,5,29,16,29,29,29,19,29,29,29,16,29,3,8,5,29,16,
16,29,16,3,25,29,23,8,8,9,29,7,8,8,25,29,23,5,16,29,16,
16,29,23,25,29,29,29,29,29,29,29,29,29,29,29,29,29,23,25,29,16,
16,29,29,29,29,0,1,2,29,7,8,9,29,0,1,2,29,29,29,29,16,
16,18,7,5,29,10,11,12,29,29,29,29,29,10,11,12,29,3,9,18,16,
16,31,11,26,29,20,21,22,29,6,11,6,29,20,21,22,29,26,11,33,16,
16,11,32,18,29,29,29,29,27,16,11,16,27,29,29,29,29,18,34,11,16,
23,8,8,8,8,8,8,8,8,25,11,23,8,8,8,8,8,8,8,8,25,
